rank,objective_value,fixed_ring,ring_b,ring_c,fixed_count
1,8330.0785705245,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,flange_ring_tilt_all_0,24
2,8237.3167675698,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,wrist_cap_2_tilt_all_0,24
3,8213.1285858899,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_0,24
4,8134.2005685507,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_0,24
5,8110.4666413005,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,wrist_cap_2_tilt_all_10,24
6,8042.1278563391,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,flange_ring_tilt_all_0,24
7,8013.1867481659,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,flange_ring_tilt_all_0,24
8,8001.9881880817,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,upperarm_cap_2_tilt_all_0,24
9,7982.1472546032,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,wrist_cap_2_tilt_all_15,24
10,7963.4113599622,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
11,7957.1004887594,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_10,24
12,7953.6258476372,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_10,24
13,7948.6776595150,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,wrist_cap_2_tilt_all_0,24
14,7940.7114562119,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,flange_ring_tilt_all_-10,24
15,7932.1491682666,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,24
16,7922.3894433117,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
17,7903.3420090985,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,wrist_cap_1_tilt_all_-30,24
18,7888.7746790253,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,forearm_cap_2_tilt_all_0,24
19,7877.6803449289,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_45,24
20,7857.4729928184,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,24
21,7852.6166294320,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,24
22,7843.4581354370,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
23,7841.3089171577,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,upperarm_cap_2_tilt_all_-10,24
24,7838.5657222792,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,forearm_cap_2_tilt_all_0,24
25,7834.1100603663,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
26,7821.7962646262,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,wrist_cap_2_tilt_all_0,24
27,7818.2122023757,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,forearm_cap_1_tilt_all_0,24
28,7815.7862279297,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,wrist_cap_1_tilt_all_-45,24
29,7795.0666829701,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,wrist_cap_2_tilt_all_10,24
30,7774.7830300817,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_15,24
31,7772.3067916904,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_15,24
32,7760.6604951431,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,upperarm_cap_2_tilt_all_0,24
33,7754.9752046200,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,flange_ring_tilt_all_-15,24
34,7719.5156039361,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_0,24
35,7711.0746921485,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,wrist_cap_1_tilt_all_-15,24
36,7708.4888902809,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,upperarm_cap_2_tilt_all_-15,24
37,7695.0508208453,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
38,7690.8690965592,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,wrist_cap_2_tilt_all_10,24
39,7684.7053667131,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_10,24
40,7677.7051458228,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_0,24
41,7675.8645046269,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,upperarm_cap_2_tilt_all_0,24
42,7669.7040634541,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,wrist_cap_1_tilt_all_-10,24
43,7668.3369426083,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,forearm_cap_2_tilt_all_10,24
44,7663.7182181662,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,wrist_cap_2_tilt_all_15,24
45,7660.6956037378,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,upperarm_cap_1_tilt_all_0,24
46,7658.0132185304,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_0,24
47,7656.4763547114,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,flange_ring_tilt_all_-10,24
48,7650.8949370588,flange_ring_tilt_all_-90,flange_ring_tilt_all_0,upperarm_ring_tilt_all_30,24
49,7649.9576979176,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
50,7648.2011494930,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
51,7635.4459985396,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,flange_ring_tilt_all_-10,24
52,7631.8293160077,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,upperarm_cap_1_tilt_all_-10,24
53,7629.1916933626,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
54,7626.1199231097,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,forearm_cap_1_tilt_all_10,24
