rank,objective_value,fixed_ring,ring_b,ring_c,ring_d,fixed_count
980,110059.3323206453,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,forearm_ring_x_-0.45,upperarm_cap_1_tilt_all_0,32
981,110058.4296118143,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,upperarm_ring_x_-0.16,32
982,110056.0365488929,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-10,wrist_cap_2_tilt_all_10,32
983,110050.4325834716,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_0,32
984,110041.9750566758,flange_ring_tilt_all_-90,flange_ring_tilt_all_-15,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-10,32
985,110041.8075746309,flange_ring_tilt_all_-90,base_cap_tilt_all_0,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-15,32
986,110039.0027570353,flange_ring_tilt_all_-90,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,wrist_cap_2_tilt_all_15,32
987,110036.3577055445,flange_ring_tilt_all_-90,flange_ring_tilt_all_-10,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,32
988,110036.1186044984,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,upperarm_ring_x_-0.46,32
989,110031.3863477988,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_10,upperarm_ring_tilt_all_45,32
990,110026.6321102603,flange_ring_tilt_all_-90,base_cap_tilt_all_-15,forearm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,32
991,110026.5353266103,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,forearm_ring_x_-0.45,upperarm_cap_1_tilt_all_-15,32
992,110026.1419875481,flange_ring_tilt_all_-90,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,wrist_cap_2_tilt_all_0,32
993,110023.3079759993,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_45,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_0,32
994,110018.2671389738,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_0,wrist_cap_1_tilt_all_-10,32
995,110013.9107298956,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_45,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,32
996,110011.9507057878,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_0,wrist_cap_1_tilt_all_-10,32
997,110011.0112861466,flange_ring_tilt_all_-90,base_cap_tilt_all_-15,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_0,32
998,110009.5475091114,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,wrist_cap_2_tilt_all_15,32
999,110008.4255786514,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-15,wrist_cap_2_tilt_all_0,32
1000,109999.5394709718,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_0,wrist_cap_1_tilt_all_-45,32
