rank,objective_value,ring_a,ring_b,total_size
487,80279.6024736154,upperarm_cap_2_tilt_all_0,upperarm_ring_x_-0.31,16
488,80278.7856242718,flange_ring_tilt_all_0,upperarm_ring_tilt_all_30,16
489,80272.6616586599,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_30,16
490,80224.8366317141,base_cap_tilt_all_-60,wrist_cap_1_tilt_all_-10,16
491,80211.4067717880,forearm_ring_x_-0.25,upperarm_cap_2_tilt_all_0,16
492,80207.5943920160,forearm_ring_x_-0.30,upperarm_cap_2_tilt_all_0,16
493,80181.6219269616,forearm_cap_2_tilt_all_0,wrist_cap_1_tilt_all_-30,16
494,80175.4908628393,upperarm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_0,16
495,80148.2501552279,flange_ring_tilt_all_-15,wrist_cap_2_tilt_all_45,16
496,80146.5503462450,forearm_ring_x_-0.20,upperarm_cap_2_tilt_all_0,16
497,80144.6606656545,forearm_cap_2_tilt_all_45,upperarm_ring_tilt_all_60,16
498,80123.5176451237,base_cap_tilt_all_-45,upperarm_ring_x_-0.26,16
499,80080.0199440162,upperarm_cap_1_tilt_all_-15,wrist_cap_2_tilt_all_10,16
500,80062.1457768622,forearm_ring_x_-0.35,upperarm_cap_2_tilt_all_0,16
501,80056.7067391714,upperarm_cap_2_tilt_all_-10,wrist_cap_1_tilt_all_-15,16
502,80043.7932900495,base_cap_tilt_all_0,forearm_cap_2_tilt_all_10,16
503,80040.8136365158,base_cap_tilt_all_-45,upperarm_ring_tilt_all_30,16
504,80039.4334034605,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_45,16
505,80001.5028906755,flange_ring_tilt_all_0,wrist_cap_2_tilt_all_15,16
506,79991.6762842795,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_10,16
507,79987.1172625258,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_15,16
508,79976.2246375972,base_cap_tilt_all_-45,upperarm_ring_tilt_all_10,16
509,79965.5832701287,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_-15,16
510,79948.3740487606,forearm_ring_x_-0.45,upperarm_cap_1_tilt_all_0,16
511,79943.5362628144,forearm_ring_x_-0.40,upperarm_cap_1_tilt_all_0,16
512,79929.6334308902,forearm_cap_1_tilt_all_0,upperarm_ring_x_-0.26,16
513,79928.6179630338,base_cap_tilt_all_-30,upperarm_ring_x_-0.21,16
514,79927.3509239572,forearm_ring_x_-0.50,upperarm_ring_tilt_all_45,16
515,79919.5697030511,upperarm_ring_tilt_all_60,wrist_cap_2_tilt_all_60,16
516,79877.0922252493,upperarm_cap_2_tilt_all_-10,wrist_cap_2_tilt_all_45,16
517,79874.1948195058,base_cap_tilt_all_0,flange_ring_tilt_all_0,16
518,79873.4009415699,forearm_ring_x_-0.15,upperarm_cap_2_tilt_all_0,16
519,79869.7019523079,forearm_ring_x_-0.45,upperarm_ring_tilt_all_45,16
520,79863.5325462645,base_cap_tilt_all_-30,upperarm_ring_x_-0.16,16
521,79861.9561271752,forearm_cap_1_tilt_all_0,forearm_ring,16
522,79861.9561271752,forearm_cap_1_tilt_all_0,forearm_ring_x_-0.10,16
523,79854.9430958341,forearm_cap_1_tilt_all_10,forearm_ring_x_-0.20,16
524,79850.3444254193,base_cap_tilt_all_-60,wrist_cap_1_tilt_all_-15,16
525,79849.5572695839,forearm_ring_x_-0.35,upperarm_cap_1_tilt_all_0,16
526,79841.2701521543,base_cap_tilt_all_-60,wrist_cap_1_tilt_all_-30,16
527,79834.3081516264,forearm_cap_1_tilt_all_10,upperarm_ring_x_-0.36,16
528,79830.3318226681,upperarm_cap_1_tilt_all_0,upperarm_ring_x_-0.16,16
529,79782.5482153338,base_cap_tilt_all_-45,wrist_cap_2_tilt_all_60,16
530,79780.2586481232,forearm_ring_x_-0.40,upperarm_cap_2_tilt_all_0,16
531,79780.0470325892,upperarm_ring_tilt_all_45,upperarm_ring_x_-0.36,16
532,79774.7205724544,upperarm_cap_2_tilt_all_-15,wrist_cap_2_tilt_all_10,16
533,79768.9404788906,base_cap_tilt_all_-45,upperarm_ring_tilt_all_15,16
534,79722.8007886469,forearm_ring_x_-0.30,upperarm_cap_1_tilt_all_0,16
535,79706.5521034000,upperarm_cap_1_tilt_all_0,wrist_cap_2_tilt_all_60,16
536,79683.0969387342,base_cap_tilt_all_-30,forearm_cap_2_tilt_all_45,16
537,79675.2965668621,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_30,16
538,79662.3364413995,upperarm_cap_2_tilt_all_0,wrist_cap_1_tilt_all_-60,16
539,79656.4761907444,forearm_cap_2_tilt_all_10,wrist_cap_1_tilt_all_0,16
540,79643.7166750247,base_cap_tilt_all_-10,wrist_cap_1_tilt_all_-15,16
541,79637.2039785158,flange_ring_tilt_all_-30,forearm_cap_2_tilt_all_0,16
542,79622.9981660002,base_cap_tilt_all_-45,forearm_ring_x_-0.30,16
543,79605.3287218232,forearm_ring_x_-0.50,upperarm_cap_1_tilt_all_0,16
544,79605.0624594010,forearm_ring_x_-0.25,upperarm_cap_1_tilt_all_0,16
545,79562.1955279634,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_-10,16
546,79537.5507362977,forearm_cap_1_tilt_all_15,wrist_cap_2_tilt_all_10,16
547,79532.7489659896,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_15,16
548,79527.2064602125,forearm_ring_x_-0.20,upperarm_cap_1_tilt_all_0,16
549,79522.2103483970,upperarm_cap_2_tilt_all_-10,wrist_cap_1_tilt_all_-10,16
550,79485.0192194634,base_cap_tilt_all_-30,base_cap_tilt_all_-60,16
551,79472.7666410508,forearm_ring_x_-0.15,upperarm_cap_1_tilt_all_0,16
552,79456.6842263734,base_cap_tilt_all_-30,upperarm_ring_x_-0.26,16
553,79352.5294940046,base_cap_tilt_all_-10,wrist_cap_1_tilt_all_-10,16
554,79351.9351800425,forearm_ring,upperarm_cap_2_tilt_all_0,16
555,79351.9351800425,forearm_ring_x_-0.10,upperarm_cap_2_tilt_all_0,16
556,79341.7040275835,forearm_ring_x_-0.45,upperarm_cap_2_tilt_all_0,16
557,79327.7271436676,forearm_ring_x_-0.35,upperarm_ring_tilt_all_60,16
558,79302.8780292893,base_cap_tilt_all_-10,wrist_cap_1_tilt_all_-45,16
559,79291.2476851470,base_cap_tilt_all_-45,upperarm_ring_x_-0.31,16
560,79268.0290297702,upperarm_cap_2_tilt_all_-10,wrist_cap_2_tilt_all_0,16
561,79226.4919223174,forearm_cap_2_tilt_all_10,wrist_cap_1_tilt_all_-10,16
562,79222.9646479195,upperarm_cap_1_tilt_all_-30,upperarm_ring_tilt_all_60,16
563,79213.6061072437,base_cap_tilt_all_-30,upperarm_ring_tilt_all_15,16
564,79211.7010119664,base_cap_tilt_all_-30,upperarm_ring_tilt_all_0,16
565,79211.7010119664,base_cap_tilt_all_-30,upperarm_ring_x_-0.11,16
566,79163.4366065955,base_cap_tilt_all_-30,upperarm_ring_x_-0.51,16
567,79121.0938469741,flange_ring_tilt_all_-30,upperarm_cap_1_tilt_all_0,16
568,79113.3253396900,forearm_ring,upperarm_cap_1_tilt_all_0,16
569,79113.3253396900,forearm_ring_x_-0.10,upperarm_cap_1_tilt_all_0,16
570,79102.9214884767,base_cap_tilt_all_0,wrist_cap_1_tilt_all_-30,16
571,79094.5805912564,base_cap_tilt_all_-30,upperarm_ring_tilt_all_10,16
572,79092.2427957267,base_cap_tilt_all_-30,upperarm_ring_x_-0.46,16
573,79087.2166754068,flange_ring_tilt_all_-10,upperarm_ring_tilt_all_30,16
574,79066.6793302486,base_cap_tilt_all_-45,forearm_ring_x_-0.25,16
575,79065.0610591043,flange_ring_tilt_all_-15,upperarm_cap_2_tilt_all_0,16
576,79063.6269129279,forearm_cap_1_tilt_all_10,forearm_ring_x_-0.15,16
577,79048.9960866772,forearm_cap_1_tilt_all_60,upperarm_cap_1_tilt_all_0,16
578,79041.5512056339,upperarm_ring_tilt_all_45,wrist_cap_2_tilt_all_60,16
579,79035.6987388825,base_cap_tilt_all_-10,wrist_cap_1_tilt_all_0,16
580,79033.0468033037,base_cap_tilt_all_-30,upperarm_ring_x_-0.31,16
581,79032.1207082090,forearm_cap_1_tilt_all_10,upperarm_ring_x_-0.31,16
582,78994.3513864146,base_cap_tilt_all_-15,upperarm_cap_2_tilt_all_-30,16
583,78986.8176026351,forearm_cap_2_tilt_all_45,upperarm_cap_2_tilt_all_-15,16
584,78979.2665231995,flange_ring_tilt_all_0,upperarm_cap_1_tilt_all_-10,16
585,78972.3371196782,forearm_ring_x_-0.40,upperarm_ring_tilt_all_45,16
586,78953.6769331078,upperarm_cap_1_tilt_all_0,wrist_cap_1_tilt_all_-60,16
587,78952.2943158140,base_cap_tilt_all_-15,flange_ring_tilt_all_-30,16
588,78939.0757227717,forearm_cap_2_tilt_all_10,wrist_cap_1_tilt_all_-15,16
589,78890.2181146928,base_cap_tilt_all_-10,base_cap_tilt_all_-30,16
590,78862.3534579483,base_cap_tilt_all_-15,wrist_cap_2_tilt_all_45,16
591,78838.2499116777,base_cap_tilt_all_-30,upperarm_ring_x_-0.41,16
592,78790.1347649425,upperarm_cap_2_tilt_all_0,upperarm_ring_x_-0.26,16
593,78789.8462832631,forearm_cap_1_tilt_all_10,forearm_ring_x_-0.50,16
594,78787.9206868707,forearm_cap_1_tilt_all_0,upperarm_ring_x_-0.21,16
595,78787.7708553725,base_cap_tilt_all_-30,upperarm_ring_x_-0.36,16
596,78739.4024915139,upperarm_ring_tilt_all_45,wrist_cap_1_tilt_all_-60,16
597,78731.0992012141,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_10,16
598,78720.9673757184,base_cap_tilt_all_-45,forearm_ring_x_-0.20,16
599,78718.0238514859,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-45,16
600,78667.9657521545,forearm_cap_1_tilt_all_15,wrist_cap_2_tilt_all_15,16
601,78654.6337398045,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_45,16
602,78638.9773814972,upperarm_cap_1_tilt_all_-10,upperarm_ring_x_-0.46,16
603,78637.0340004684,flange_ring_tilt_all_-30,forearm_cap_2_tilt_all_10,16
604,78546.9332411927,base_cap_tilt_all_-45,upperarm_ring_x_-0.36,16
605,78518.5067380946,base_cap_tilt_all_0,flange_ring_tilt_all_-10,16
606,78513.3081210204,upperarm_ring_tilt_all_45,upperarm_ring_x_-0.41,16
607,78502.0914451165,base_cap_tilt_all_-10,upperarm_ring_x_-0.51,16
608,78492.6488045823,base_cap_tilt_all_-60,upperarm_ring_x_-0.21,16
609,78487.7268123551,forearm_cap_1_tilt_all_45,upperarm_cap_1_tilt_all_-15,16
610,78458.9255299753,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_0,16
611,78434.4751955579,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_15,16
612,78428.7057678607,base_cap_tilt_all_-60,upperarm_ring_tilt_all_30,16
613,78424.9379420229,base_cap_tilt_all_-45,forearm_ring_x_-0.15,16
614,78418.9829220411,base_cap_tilt_all_0,wrist_cap_2_tilt_all_15,16
615,78398.3372729849,flange_ring_tilt_all_0,forearm_cap_1_tilt_all_30,16
616,78392.1613708046,forearm_cap_2_tilt_all_10,wrist_cap_1_tilt_all_-30,16
617,78378.0271883173,forearm_ring_x_-0.30,upperarm_ring_tilt_all_60,16
618,78374.2120863111,forearm_ring_x_-0.50,upperarm_cap_2_tilt_all_0,16
619,78353.4551398495,upperarm_cap_1_tilt_all_-10,upperarm_ring_x_-0.41,16
620,78349.3006571429,base_cap_tilt_all_0,wrist_cap_2_tilt_all_10,16
621,78305.5006303769,forearm_cap_2_tilt_all_15,wrist_cap_1_tilt_all_0,16
622,78300.6786721854,upperarm_cap_2_tilt_all_-10,wrist_cap_1_tilt_all_-45,16
623,78284.6107114773,forearm_cap_2_tilt_all_60,upperarm_cap_2_tilt_all_0,16
624,78274.9846503982,flange_ring_tilt_all_0,forearm_cap_2_tilt_all_30,16
625,78237.5433149859,base_cap_tilt_all_0,forearm_cap_2_tilt_all_15,16
626,78236.1725285344,base_cap_tilt_all_-60,flange_ring_tilt_all_-30,16
627,78221.3153634008,flange_ring_tilt_all_-15,upperarm_ring_tilt_all_30,16
628,78219.3957144447,base_cap_tilt_all_-30,upperarm_cap_2_tilt_all_-45,16
629,78207.6074278220,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_45,16
630,78176.3948832609,base_cap_tilt_all_0,upperarm_ring_x_-0.51,16
631,78156.1015596567,forearm_cap_1_tilt_all_45,upperarm_ring_tilt_all_60,16
632,78130.2954940464,forearm_cap_2_tilt_all_10,wrist_cap_2_tilt_all_0,16
633,78118.8248206542,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_0,16
634,78110.9776817550,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_10,16
635,78099.3739082708,forearm_cap_2_tilt_all_0,upperarm_ring_x_-0.46,16
636,78084.4520649709,forearm_cap_1_tilt_all_15,upperarm_ring_x_-0.51,16
637,78076.8127045890,base_cap_tilt_all_-60,forearm_cap_1_tilt_all_30,16
638,78063.4757633677,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_45,16
639,78051.1787771905,base_cap_tilt_all_-45,upperarm_ring_x_-0.41,16
640,78044.5872566784,base_cap_tilt_all_-15,forearm_cap_1_tilt_all_30,16
641,78041.9319190826,forearm_cap_1_tilt_all_10,upperarm_ring_x_-0.26,16
642,78022.2153712047,base_cap_tilt_all_-60,upperarm_ring_x_-0.16,16
643,78020.9645632766,base_cap_tilt_all_-15,upperarm_ring_x_-0.51,16
644,78016.2265499223,base_cap_tilt_all_-60,upperarm_ring_x_-0.26,16
645,78014.5059587031,base_cap_tilt_all_-30,flange_ring_tilt_all_-60,16
646,77963.3210170068,base_cap_tilt_all_-10,upperarm_ring_x_-0.46,16
647,77951.6210896850,forearm_ring_x_-0.35,upperarm_ring_tilt_all_45,16
648,77943.0606412163,upperarm_cap_2_tilt_all_-10,wrist_cap_1_tilt_all_0,16
649,77940.1367125952,base_cap_tilt_all_-15,forearm_cap_2_tilt_all_30,16
650,77937.9253821624,upperarm_cap_2_tilt_all_0,wrist_cap_2_tilt_all_60,16
651,77928.4788800512,upperarm_cap_1_tilt_all_-10,upperarm_ring_x_-0.36,16
652,77925.5260584306,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_10,16
