rank,objective_value,fixed_ring,ring_b,ring_c,fixed_count
1,7546.0937912024,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,24
2,7515.3472059161,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,24
3,7430.0713935301,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_ring_tilt_all_60,24
4,7332.7905717698,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,24
5,7320.0834733633,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_ring_tilt_all_60,24
6,7263.9309012692,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_ring_tilt_all_60,24
7,7259.3544767684,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
8,7229.3374863257,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,24
9,7206.5789174732,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
10,7187.4353089143,flange_ring_tilt_all_-90,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_60,24
11,7168.4897921698,flange_ring_tilt_all_-90,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
12,7168.3202620118,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
13,7165.8258605475,flange_ring_tilt_all_-90,upperarm_ring_tilt_all_60,wrist_cap_1_tilt_all_-60,24
14,7150.5101105519,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
15,7143.5593065772,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,24
16,7118.3076928191,flange_ring_tilt_all_-90,upperarm_ring_tilt_all_60,wrist_cap_1_tilt_all_-45,24
17,7107.1523627174,flange_ring_tilt_all_-90,flange_ring_tilt_all_0,upperarm_ring_tilt_all_60,24
18,7088.1767702614,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
19,7070.3229585192,flange_ring_tilt_all_-90,flange_ring_tilt_all_-10,upperarm_ring_tilt_all_60,24
