rank,objective_value,fixed_ring,ring_b,ring_c,fixed_count
1,6026.7967436170,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
2,5996.2096892218,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
3,5969.9945796459,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
4,5960.5117146856,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
5,5928.1643014302,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
6,5908.1985652983,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,24
7,5894.4913778013,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
8,5870.1498852456,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
9,5860.8951899225,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
10,5857.8432525173,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-15,24
11,5856.8851820013,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-15,24
12,5851.0880327574,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
13,5846.3786701766,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-15,24
14,5837.2497772307,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-10,24
15,5829.3425854293,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-15,24
16,5827.8584823313,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-10,24
17,5825.9827410727,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,24
18,5823.4544580690,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
19,5819.5112805809,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_0,24
20,5813.7330219635,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_0,24
21,5805.6727787003,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_0,24
22,5741.1328693712,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_-10,24
23,5738.6574133808,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-15,24
24,5721.4265851452,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-10,24
25,5713.2077199936,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,upperarm_cap_2_tilt_all_0,24
26,5712.5835188852,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-10,24
27,5707.4265712495,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_0,24
28,5691.1776624334,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_0,24
29,5670.3666490340,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_0,24
30,5642.9725217845,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,upperarm_cap_2_tilt_all_0,24
31,5632.5795912498,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_0,24
32,5631.1166288621,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_0,24
33,5629.1393091606,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_-10,24
34,5620.6836147396,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-15,24
35,5620.0387251480,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_-10,24
36,5606.9929412963,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_0,24
37,5590.4783792950,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_0,24
38,5567.3958662970,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-10,24
39,5563.1821209152,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-15,24
40,5558.1232935219,flange_ring_tilt_all_-90,flange_ring_tilt_all_0,upperarm_cap_2_tilt_all_0,24
41,5552.0619657531,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_-15,24
42,5546.3025019437,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_-15,24
43,5536.6788312007,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-30,24
44,5533.4180958410,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_-10,24
45,5527.3346506063,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-10,24
46,5525.1249709710,flange_ring_tilt_all_-90,flange_ring_tilt_all_-10,upperarm_cap_2_tilt_all_0,24
47,5515.9668816265,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-15,24
48,5514.0285933779,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_-15,24
49,5506.1861694867,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_0,24
50,5503.4897619809,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,upperarm_cap_2_tilt_all_-10,24
51,5489.3138704222,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_-15,24
52,5471.0559079221,flange_ring_tilt_all_-90,base_cap_tilt_all_-60,upperarm_cap_2_tilt_all_0,24
53,5464.9388798006,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-30,24
54,5463.7832788573,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,24
55,5461.7426603083,flange_ring_tilt_all_-90,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
56,5452.5022507346,flange_ring_tilt_all_-90,flange_ring_tilt_all_-15,upperarm_cap_2_tilt_all_0,24
57,5450.5604688052,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_45,24
58,5445.3239149029,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_45,24
59,5436.5794703975,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,upperarm_cap_2_tilt_all_-10,24
60,5429.6071552367,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-30,24
61,5407.3203483187,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-30,24
62,5407.0635857344,flange_ring_tilt_all_-90,upperarm_cap_2_tilt_all_0,wrist_cap_1_tilt_all_-30,24
63,5406.0708933890,flange_ring_tilt_all_-90,upperarm_cap_2_tilt_all_0,wrist_cap_1_tilt_all_-45,24
64,5405.3084150885,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-30,24
65,5393.1767729529,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,24
66,5392.8522151989,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_0,24
67,5379.4720469474,flange_ring_tilt_all_-90,flange_ring_tilt_all_-30,wrist_cap_2_tilt_all_0,24
68,5374.3021884784,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-30,24
69,5363.3732244134,flange_ring_tilt_all_-90,flange_ring_tilt_all_-10,upperarm_cap_2_tilt_all_-10,24
70,5362.9080303795,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_15,upperarm_ring_tilt_all_60,24
71,5360.0172754087,flange_ring_tilt_all_-90,flange_ring_tilt_all_-30,wrist_cap_2_tilt_all_10,24
72,5359.2213379053,flange_ring_tilt_all_-90,flange_ring_tilt_all_-15,upperarm_cap_1_tilt_all_0,24
73,5355.5484756631,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,24
74,5352.5817935890,flange_ring_tilt_all_-90,base_cap_tilt_all_-45,upperarm_cap_2_tilt_all_-15,24
